degrees
BSN
BCom
BSE
MBA
SB
BSc - Intercalculated 
BLIS
BSMicr
BSF
BM
BPhil
BBusSc
AS-CAD
BAA
BLA
AA
BPlan
AA-T
BASW
BAM
BAcc
BCA
DPC
BInDsn
BHS
AFA
BKin
AAT
BAcy
BASc
APT
MAT
BBIS
BA
BCE
BEc
MCS
BAE
BAccSci
BAppSc(IT)
AB
BFA
EdS
BCompt
AEngT
ALB
BF&TV
BTech
MFA
AEET
BCJ
BChE
BSW
BIS
AT
BGS
BMus
MMus
BAOM
BAg
AS
PhB
AOT
BBus
BLS
AAS
BSc(IT)
AET
BMathSc
BArch
AAB
BCrim 
BDes
BLArch
EdD
BSET
BMS
BAvn
BAJ
BAT
APE
MHSA
AE
BPS
BEcon
BJ
BSEng
BSc(Econ)
BURP
BHSc
BIBE
BME
BLib
BSGS
BAS
AAA
AIT
BScKin
MSS
BE
BEE
BSc(Psych)
BS
ASPT
MA
BCompSc
BSSW
BSocSc
APS
AOS 
AES 
BSME
BACom
BAPSY
BComm
BSAE
BPAPM
AG
BMEd
MSM
BSChem
BEng
MLS
BSPH
BAMus
AS-T
BSEd
BComp
MS
BSBA
BSCS
BTS
BBA
BABA
ABA
AEng
AF
BMOS
BESc
ABS
BA(Econ)
MEd
BMath
